,0,1
0,2017-11-06,1.562341
1,2017-11-13,1.825773
2,2017-11-20,2.34959
3,2017-11-27,8.50287
4,2017-12-04,7.109816
5,2017-12-11,32.868614
6,2017-12-18,24.965757
7,2017-12-25,45.93813
8,2018-01-01,63.86957
9,2018-01-08,51.023865
10,2018-01-15,39.13206
11,2018-01-22,42.61008
12,2018-01-29,24.32091
13,2018-02-05,23.790937
14,2018-02-12,24.7721
15,2018-02-19,22.258936
16,2018-02-26,19.61432
17,2018-03-05,14.55419
18,2018-03-12,10.146952
19,2018-03-19,11.995633
20,2018-03-26,9.816504
21,2018-04-02,10.166407
22,2018-04-09,14.445697
23,2018-04-16,18.902418
24,2018-04-23,24.316446
25,2018-04-30,23.384903
26,2018-05-07,19.266129
27,2018-05-14,17.413406
28,2018-05-21,13.109615
29,2018-05-28,15.284037
30,2018-06-04,11.942128
31,2018-06-11,10.982715
32,2018-06-18,9.005226
33,2018-06-25,9.734137
34,2018-07-02,10.002764
35,2018-07-09,9.743524
36,2018-07-16,11.703138
37,2018-07-23,11.203272
38,2018-07-30,9.028157
39,2018-08-06,7.781938
40,2018-08-13,7.179809
41,2018-08-20,6.529905
42,2018-08-27,7.414672
43,2018-09-03,5.501435
44,2018-09-10,5.028205
45,2018-09-17,6.483733
46,2018-09-24,6.177857
47,2018-10-01,6.255381
48,2018-10-08,5.253308
49,2018-10-15,5.574798
50,2018-10-22,5.351025
51,2018-10-29,5.560177
52,2018-11-05,5.548293
53,2018-11-12,4.444624
54,2018-11-19,2.66517
55,2018-11-26,2.907446
56,2018-12-03,2.262059
57,2018-12-10,2.093127
58,2018-12-17,3.102334
59,2018-12-24,3.025743
60,2018-12-31,3.425368
61,2019-01-07,2.832113
62,2019-01-14,3.097295
63,2019-01-21,2.922355
64,2019-01-28,2.717702
65,2019-02-04,3.047739
66,2019-02-11,2.956786
67,2019-02-18,3.016112
68,2019-02-25,3.00413
69,2019-03-04,3.198771
70,2019-03-11,3.462404
71,2019-03-18,4.268078
72,2019-03-25,4.838933
73,2019-04-01,6.258839
74,2019-04-08,5.85484
75,2019-04-15,5.14075
76,2019-04-22,4.791216
77,2019-04-29,4.575859
78,2019-05-06,4.901275
79,2019-05-13,6.115174
80,2019-05-20,5.966941
81,2019-05-27,6.719847
82,2019-06-03,5.511682
83,2019-06-10,6.442122
84,2019-06-17,6.724502
85,2019-06-24,5.66067
86,2019-07-01,5.47356
87,2019-07-08,4.074326
88,2019-07-15,4.213189
89,2019-07-22,4.096594
90,2019-07-29,3.920211
91,2019-08-05,3.906135
92,2019-08-12,3.609222
93,2019-08-19,3.535451
94,2019-08-26,3.195507
95,2019-09-02,3.348797
96,2019-09-09,3.324192
97,2019-09-16,3.496762
98,2019-09-23,2.643023
99,2019-09-30,2.785144
100,2019-10-07,2.930913
101,2019-10-14,2.808106
102,2019-10-21,2.998994
103,2019-10-28,2.95701
104,2019-11-04,3.137296
105,2019-11-11,3.254155
106,2019-11-18,2.554962
107,2019-11-25,2.840403
108,2019-12-02,2.776691
109,2019-12-09,2.590909
110,2019-12-16,2.450555
111,2019-12-23,2.448958
112,2019-12-30,2.491736
113,2020-01-06,2.674596
114,2020-01-13,2.982545
115,2020-01-20,3.179799
116,2020-01-27,3.987344
117,2020-02-03,4.42033
118,2020-02-10,4.481487
119,2020-02-17,4.421636
