,0,1
0,06-11-2017,20063.285
1,13-11-2017,23038.633
2,20-11-2017,30480.91
3,27-11-2017,30052.178
4,04-12-2017,28477.754
5,11-12-2017,46128.797
6,18-12-2017,44432.414
7,25-12-2017,48302.266
8,01-01-2018,73030.26
9,08-01-2018,86926.57
10,15-01-2018,66984.195
11,22-01-2018,79208.86
12,29-01-2018,53519.81
13,05-02-2018,52415.223
14,12-02-2018,59352.688
15,19-02-2018,54659.207
16,26-02-2018,56516.07
17,05-03-2018,47103.836
18,12-03-2018,35001.086
19,19-03-2018,34068.168
20,26-03-2018,24716.21
21,02-04-2018,26000.979
22,09-04-2018,34693.56
23,16-04-2018,41167.133
24,23-04-2018,45886.363
25,30-04-2018,52934.297
26,07-05-2018,49430.293
27,14-05-2018,48634.363
28,21-05-2018,38786.805
29,28-05-2018,41421.86
30,04-06-2018,35547.863
31,11-06-2018,34057.99
32,18-06-2018,31057.621
33,25-06-2018,31070.688
34,02-07-2018,33651.387
35,09-07-2018,30810.227
36,16-07-2018,31592.227
37,23-07-2018,32013.219
38,30-07-2018,28136.768
39,06-08-2018,22013.58
40,13-08-2018,21085.455
41,20-08-2018,19252.781
42,27-08-2018,20900.342
43,03-09-2018,14135.205
44,10-09-2018,15853.731
45,17-09-2018,17650.238
46,24-09-2018,16884.773
47,01-10-2018,16707.879
48,08-10-2018,14421.509
49,15-10-2018,15072.849
50,22-10-2018,15019.442
51,29-10-2018,15134.061
52,05-11-2018,15331.622
53,12-11-2018,12710.749
54,19-11-2018,8226.813
55,26-11-2018,8120.454
56,03-12-2018,6790.767
57,10-12-2018,6132.125
58,17-12-2018,9171.939
59,24-12-2018,9777.76
60,31-12-2018,10968.977
61,07-01-2019,8227.146
62,14-01-2019,8511.404
63,21-01-2019,8050.213
64,28-01-2019,7681.789
65,04-02-2019,8881.179
66,11-02-2019,9529.727
67,18-02-2019,9651.108
68,25-02-2019,9389.711
69,04-03-2019,9572.8
70,11-03-2019,9654.868
71,18-03-2019,9475.464
72,25-03-2019,9818.142
73,01-04-2019,12072.41
74,08-04-2019,11609.528
75,15-04-2019,11796.108
76,22-04-2019,10987.369
77,29-04-2019,11307.178
78,06-05-2019,13100.13
79,13-05-2019,18366.926
80,20-05-2019,18527.041
81,27-05-2019,18802.203
